team,elo
Circle-Of-Two,1300
Of Sound Mind,1300
Curatores Veritatis Alliance,1300
THE R0NIN,1300
Goonswarm Federation,1300
Verge of Collapse,1300
Wormhole Holders,1300
Perihelion Alliance,1300
D3vil's Childr3n,1300
Clockwork Pineapple,1300
RAZOR Alliance,1300
Sicarius Draconis,1300
Moist.,1300
Surely You're Joking,1300
Exiled Ones,1300
JIHADASQUAD,1300
Noir. Mercenary Group,1300
HUN Reloaded,1300
Darkness of Despair,1300
M.I.F,1300
Kill It With Fire,1300
The G0dfathers,1300
SOLAR FLEET,1300
End of Life,1300
Heretic Initiative,1300
WHY so Seri0Us,1300
W-Space,1300
The Obsidian Front,1300
Confederation of xXPIZZAXx,1300
Sadistica Alliance,1300
Pandemic Legion,1300
The Kadeshi,1300
Sleeper Social Club,1300
Rote Kapelle,1300
Late Night Alliance,1300
Transmission Lost,1300
Shadow Cartel,1300
Ministry of Inappropriate Footwork,1300
HYDRA RELOADED,2200
No Holes Barred,1300
SCUM.,1300
R.E.V.O.L.U.T.I.O.N,1300
Babylon 5..,1300
Choke Point,1300
Quebec United Legions,1300
Mildly Sober,1300
Dead Terrorists,1300
Synthetic Systems,1300
Outbreak.,1300
Rainbow Dash Friends,1300
Angeli Mortis,1300
Urine Alliance,1300
YOUR VOTES DON'T COUNT,1300
DarkSide.,1300
Red vs Blue,1300
Agony Empire,1300
Nulli Secunda,1300
The Initiative.,1300
Exodus.,1300
Ineluctable.,1300
Affirmative.,1300
The Tuskers Co.,1300
CAStabouts,1300
The Unthinkables,1300
Ushra'Khan,1300
Tactical Narcotics Team,1300
LowSechnaya Sholupen,1300
Disavowed.,1300
The Fearless Empire,1300
WAFFLES.,1300
Mortuus.,1300
The Afterlife.,1700
The Methodical Alliance,1300
The Gorgon Empire,1700
Fidelas Constans,1300
Pasta Syndicate,1300
Feign Disorder,1300
Test Alliance Please Ignore,1300
The Camel Empire,1300
Cynosural Field Theory.,1300
Red Alliance,1300
Triumvirate.,1300
The Devil's Warrior Alliance,1300
A Nest of Vipers,1300
Almost Awesome.,1300
Monkeys with Guns.,1300
The Fourth District,1300
Easily Excited,1300
Scary Wormhole People,1300
Out of Sight.,1300
Black Legion.,1300
Together We Solo,1300
Brave Collective,1300
Vox Populi.,1300
Nihilists Social Club,1300
Hard Knocks Citizens,1300
Forsaken Federation,1300
Northern Coalition.,1300
Warlords of the Deep,1300
Phoebe Freeport Republic,1300
SpaceMonkey's Alliance,1300
Chaos Collective,1300
Suddenly Spaceships.,1300
Nerfed Alliance Go Away,1300
That Escalated Quickly.,1300
Drop the Hammer,1300
A Band Apart.,1300
It Must Be Jelly Cause Jam Don't Shake,1300
Pandemic Horde,1300
The Bastards.,1300
Project.Mayhem.,1300
Dream Fleet,1300
The WeHurt Initiative,1300
Brothers in Arms Alliance,1300
The Explicit Alliance,1300
The Gorgon Empire and Spawn,1300
Complaints Department,1300
Fraternity.,1300
Rabble Alliance,1300
Villore Accords,1300
VYDRA RELOLDED,1300
Brotherhood of Spacers,1300
Spaceship Samurai,1300
Paisti Syndicate,1300
SAMURAI SOUL'd OUT,1300
IT'S ONLY PIXELS,1300
League of Unaligned Master Pilots,1300
WE FORM V0LTA,1300
404 Alliance Not Found,1300
The-Culture,1300
Galaxy Spiritus,1300
Mercenary Coalition,1300
Iron Armada,1300
Badfellas Inc.,1300
Official Winners Of Takeshi's Castle,1300
Psychotic Tendencies,1300
White Legion.,1300
Requiem Eternal,1300
COF Alliance,1300
Templis CALSF,1300
Spectre Fleet Alliance,1300
Snuffed Out,1300
Ghost Legion.,1300
United Federation of Conifers,1300
L A Z E R H A W K S,1300
No Handlebars.,1300
Band of Backstabbers,1300
skill urself,1300
We want your ISK,1300
Asteria Concord.,1300
Good at this Game,1300
The Bastard Cartel,1300
PURPLE HELMETED WARRIORS,1300
Solyaris Chtonium,1300
Hole Control,1300
Pen Is Out,1300
Thermodynamics,1300
Bright Side of Death,1300
Salt Farmers,1300
Black Legion...,1300
L A Z E R H AW K S,1300
ChaosTheory.,1300
SE7EN-SINS,1300
Immediate Destruction,1300
The Weekend Warriors,1300
Lowsechnaya Sholupen,1300
Centipede Caliphate.,1300
Holesale Operations,1300
lllllllllllllllll,1500
Darwinism.,1300
No Vacancies.,1300
Quebec United Legion,1300
Odin's Call,1300
BLUE Republic,1300
Darkspawn.,1300
Drunk 'n' Disorderly,1300
C0VEN,1300
The Nameless Alliance,1300
CODE.,1300
-affliction-,1300
Alternate Allegiance,1300
Gone Critical,1300
Cede Nullis,1300
NANOBLACK,1300
Polarbears.,1300
FREE GATES COALITION,1300
Blades of Grass,1300
The Bastion,1300
Rejection Of Sovereignty,1300
The Clown Car,1300
Phage and Terror,1300
Shattered Foundations,1300
MOIST.,1300
Unspoken Alliance.,1300
Wormhole Poverty Law Foundation,1300
GaNg BaNg TeAm,1300
